name,location,content
Bonny Boutique Đà Nẵng,"3 Khuê Mỹ Đông 10, khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng, Việt Nam, Đà Nẵng, Việt Nam","Bạn đủ điều kiện nhận giảm giá Genius tại Bonny Boutique Đà Nẵng! Để tiết kiệm tại chỗ nghỉ này, bạn chỉ cần đăng nhập.
Tọa lạc tại thành phố Đà Nẵng, cách Bãi biển Bắc Mỹ An chưa đầy 1 km, Bonny Boutique Đà Nẵng có dịch vụ tiền sảnh, phòng nghỉ không gây dị ứng, xe đạp cho khách sử dụng miễn phí, WiFi miễn phí trong toàn bộ khuôn viên và khu vườn. Khách sạn này cũng có lễ tân 24 giờ, sân hiên, hồ bơi trong nhà, phòng xông hơi khô và dịch vụ phòng.
Phòng nghỉ gắn máy điều hòa tại Bonny Boutique Đà Nẵng có bàn làm việc, ấm đun nước, tủ lạnh, minibar, két an toàn, TV màn hình phẳng, ban công và phòng tắm riêng với vòi xịt/chậu rửa vệ sinh. Các phòng được trang bị ga trải giường và khăn tắm.
Chỗ nghỉ phục vụ bữa sáng buffet hoặc bữa sáng à la carte.
Du khách được thoải mái sử dụng bể sục tại Bonny Boutique Đà Nẵng.
Khách sạn nằm cách Bãi biển Mỹ Khê 1,2 km và Công viên Châu Á 2,6 km. Sân bay gần nhất là sân bay quốc tế Đà Nẵng, nằm trong bán kính 7 km từ Bonny Boutique Đà Nẵng, và chỗ nghỉ cung cấp dịch vụ đưa đón sân bay với một khoản phụ phí."
MƯỜNG THANH APARTMENT,"51 Trần Bạch Đằng CHUNG CƯ MƯỜNG THANH ĐÀ NẴNG, Đà Nẵng, Việt Nam","Boasting mountain views, MƯỜNG THANH APARTMENT features accommodation with a balcony, around 1 km from Bac My An Beach. The property has city and sea views, and is 200 metres from My Khe Beach.
The air-conditioned apartment consists of 1 bedroom, a living room, a fully equipped kitchen with a fridge, and 2 bathrooms with a bidet and a hairdryer. The property also has 2 bathrooms featuring a shower and slippers, and towels and bed linen are provided.
Love Lock Bridge Da Nang is 2.9 km from the apartment, while Cham Museum is 3.5 km from the property. The nearest airport is Da Nang International Airport, 6 km from MƯỜNG THANH APARTMENT."
Duy Tung Hotel Da Nang,"90 Tô Hiến Thành, Đà Nẵng, Việt Nam","Bạn đủ điều kiện nhận giảm giá Genius tại Duy Tung Hotel Da Nang! Để tiết kiệm tại chỗ nghỉ này, bạn chỉ cần đăng nhập.
Tọa lạc tại thành phố Đà Nẵng, cách Bãi biển Mỹ Khê 2 km, Duy Tung Hotel Da Nang cung cấp chỗ nghỉ với khu vườn, chỗ đỗ xe riêng miễn phí, sảnh khách chung và nhà hàng. Khách sạn 3 sao này có bếp chung, dịch vụ đưa đón miễn phí, WiFi miễn phí, dịch vụ phòng, dịch vụ tiền sảnh và dịch vụ thu đổi ngoại tệ cho khách.
Phòng nghỉ gắn máy điều hòa tại Duy Tung Hotel Da Nang có bàn làm việc, máy pha cà phê, tủ lạnh, minibar, két an toàn, TV màn hình phẳng, sân trong và phòng tắm riêng với vòi xịt/chậu rửa vệ sinh. Các phòng còn cho tầm nhìn ra quang cảnh thành phố và sử dụng phòng tắm chung đi kèm vòi sen cùng đồ vệ sinh cá nhân miễn phí. Tất cả các phòng đều được trang bị ga trải giường và khăn tắm.
Duy Tung Hotel Da Nang phục vụ bữa sáng à la carte và bữa sáng kiểu lục địa hằng ngày.
Khách sạn có sân hiên tắm nắng. Khu vực này nổi tiếng với hoạt động đi xe đạp và du khách cũng có thể thuê xe đạp tại khách sạn 3 sao này.
Đội ngũ nhân viên nói tiếng Afrikaans, tiếng Ả Rập, tiếng Azerbaijan và tiếng Belarus tại quầy lễ tân 24 giờ sẵn sàng hỗ trợ du khách suốt cả ngày.
Duy Tung Hotel Da Nang nằm trong bán kính 2,2 km từ Bãi biển Bắc Mỹ An và 1,7 km từ Cầu khóa Tình yêu. Sân bay gần nhất là sân bay quốc tế Đà Nẵng, cách chỗ nghỉ 5 km."
Merry Land Hotel Da Nang,"Lot B20- B21 Pham Van Dong Str, An Hai Bac Ward, Son Tra District, Đà Nẵng, Việt Nam","Bạn đủ điều kiện nhận giảm giá Genius tại Merry Land Hotel Da Nang! Để tiết kiệm tại chỗ nghỉ này, bạn chỉ cần đăng nhập.
Merry Land Hotel Da Nang cung cấp các phòng nghỉ tại thành phố Đà Nẵng, cách Cầu Sông Hàn chỉ 2 phút lái xe. Khách sạn có hồ bơi ngoài trời mở cửa quanh năm, sân hiên tắm nắng và quầy bar tại chỗ. Wi-Fi trong tất cả khu vực và chỗ đậu xe riêng trong khuôn viên đều được cung cấp miễn phí.
Mỗi phòng nghỉ tại khách sạn này đều được trang bị máy điều hòa, TV màn hình phẳng, ấm đun nước và phòng tắm riêng kèm chậu rửa vệ sinh (bidet), dép cùng đồ vệ sinh cá nhân giúp khách cảm thấy thoải mái.
Khách sạn có lễ tân hoạt động 24 giờ và dịch vụ cho thuê xe hơi.
Khách sạn nằm cách Cầu Tàu Tình Yêu Đà Nẵng và trung tâm mua sắm Indochina Riverside Mall 5 phút lái xe. Công viên giải trí Asia Park và sân bay gần nhất là sân bay quốc tế Đà Nẵng đều cách Merry Land Hotel Da Nang 15 phút lái xe."
Cherry Hotel & Apartment Da Nang - Phoenix 2 Hotel,"41-42 Do Bi Street, Đà Nẵng, Việt Nam","Nằm ở thành phố Đà Nẵng, Cherry Hotel & Apartment Da Nang - Phoenix 2 Hotel có hồ bơi ngoài trời, sảnh khách chung, sân hiên và nhà hàng. Khách sạn 4 sao này cung cấp dịch vụ phòng và có máy ATM. Chỗ nghỉ cung cấp dịch vụ lễ tân 24 giờ, dịch vụ đưa đón sân bay, bếp chung và Wi-Fi miễn phí trong toàn bộ khuôn viên.
Phòng nghỉ gắn máy điều hòa tại khách sạn có bàn làm việc, ấm đun nước, tủ lạnh, minibar, két an toàn, TV màn hình phẳng và phòng tắm riêng với vòi xịt/chậu rửa vệ sinh. Một số phòng được bố trí khu vực bếp nấu ăn. Mỗi phòng tại Cherry Hotel & Apartment Da Nang - Phoenix 2 Hotel đều được trang bị ga trải giường và khăn tắm.
Chỗ nghỉ nằm cách Bãi biển Mỹ Khê 600 m và Bãi biển Bắc Mỹ An 1,2 km. Sân bay gần nhất là sân bay quốc tế Đà Nẵng, nằm trong bán kính 6 km từ Cherry Hotel & Apartment Da Nang - Phoenix 2 Hotel."
Raon Danang Beach,"5-7 An Thuong 32, My An Ward, Ngu Hanh Son District, Đà Nẵng, Việt Nam","Bạn đủ điều kiện nhận giảm giá Genius tại Raon Danang Beach! Để tiết kiệm tại chỗ nghỉ này, bạn chỉ cần đăng nhập.
Tọa lạc tại thành phố Đà Nẵng, cách Bãi biển Mỹ Khê 400 m và Bãi biển Bắc Mỹ An chưa đầy 1 km, Raon Danang Beach cung cấp chỗ nghỉ với sảnh khách chung và WiFi miễn phí trong toàn bộ khuôn viên cũng như chỗ đỗ xe riêng miễn phí cho khách lái xe. Khách sạn 3 sao này có dịch vụ phòng, lễ tân 24 giờ, dịch vụ tiền sảnh, bàn đặt tour và dịch vụ thu đổi ngoại tệ cho khách.
Tất cả phòng nghỉ tại khách sạn đều được trang bị máy điều hòa, TV truyền hình vệ tinh màn hình phẳng, tủ lạnh, ấm đun nước, vòi xịt/chậu rửa vệ sinh, máy sấy tóc và bàn làm việc. Các phòng được bố trí ga trải giường, khăn tắm và phòng tắm riêng với vòi sen. Một số phòng có ban công trong khi các phòng còn lại nhìn ra quang cảnh thành phố.
Raon Danang Beach cung cấp chỗ nghỉ 3 sao với hồ bơi trong nhà.
Chỗ nghỉ nằm trong bán kính 3 km từ Cầu khóa Tình yêu và 3,7 km từ Bảo tàng Chăm. Sân bay gần nhất là sân bay quốc tế Đà Nẵng, cách Raon Danang Beach 7 km, và chỗ nghỉ cung cấp dịch vụ đưa đón sân bay với một khoản phụ phí."
Raon Apartment and Hotel,"97A Hoàng Bích Sơn, Đà Nẵng, Việt Nam","Bạn đủ điều kiện nhận giảm giá Genius tại Raon Apartment and Hotel! Để tiết kiệm tại chỗ nghỉ này, bạn chỉ cần đăng nhập.
Tọa lạc tại thành phố Đà Nẵng, Raon Apartment and Hotel là chỗ nghỉ 3 sao quay mặt ra biển. Khách sạn 3 sao này có dịch vụ tiền sảnh và bàn đặt tour. Nơi đây cung cấp dịch vụ lễ tân 24 giờ, dịch vụ đưa đón sân bay, dịch vụ phòng và WiFi miễn phí trong toàn bộ khuôn viên.
Tất cả phòng nghỉ tại khách sạn đều được trang bị máy điều hòa, TV truyền hình vệ tinh màn hình phẳng, minibar, ấm đun nước, vòi xịt/chậu rửa vệ sinh, máy sấy tóc và bàn làm việc. Các phòng có ga trải giường, khăn tắm và phòng tắm riêng với vòi sen cùng dép. Một số phòng được bố trí khu vực bếp ăn nhỏ với tủ lạnh.
Khu vực này nổi tiếng với hoạt động đi bộ đường dài và du khách cũng có thể thuê xe hơi tại khách sạn 3 sao này.
Raon Apartment and Hotel nằm cách Bãi biển Mỹ Khê 700 m và Cầu Sông Hàn 1,9 km. Sân bay gần nhất là sân bay quốc tế Đà Nẵng, nằm trong bán kính 6 km từ chỗ nghỉ."
Menora Premium Da Nang - Sea Corner Boutique,"196 Tran Bach Dang Street, My An Ward, Ngu Hanh Son District, Đà Nẵng, Việt Nam","Bạn đủ điều kiện nhận giảm giá Genius tại Menora Premium Da Nang - Sea Corner Boutique! Để tiết kiệm tại chỗ nghỉ này, bạn chỉ cần đăng nhập.
Quay mặt ra biển ở thành phố Đà Nẵng, Menora Premium Da Nang - Sea Corner Boutique cung cấp chỗ nghỉ 3 sao và có hồ bơi ngoài trời, sân hiên cũng như nhà hàng. Khách sạn 3 sao này có dịch vụ tiền sảnh và bàn đặt tour. Chỗ nghỉ cung cấp dịch vụ lễ tân 24 giờ, dịch vụ đưa đón sân bay, dịch vụ phòng và WiFi miễn phí trong toàn bộ khuôn viên.
Phòng nghỉ gắn máy điều hòa tại Menora Premium Da Nang - Sea Corner Boutique có bàn làm việc, ấm đun nước, tủ lạnh, minibar, két an toàn, TV màn hình phẳng và phòng tắm riêng với vòi xịt/chậu rửa vệ sinh. Mỗi phòng đều được trang bị ga trải giường và khăn tắm.
Chỗ nghỉ phục vụ bữa sáng buffet, bữa sáng à la carte và bữa sáng kiểu lục địa hằng ngày.
Du khách lưu trú tại chỗ nghỉ có thể tham gia các hoạt động trong và xung quanh thành phố Đà Nẵng, như đi xe đạp.
Menora Premium Da Nang - Sea Corner Boutique nằm cách Bãi biển Mỹ Khê 300 m và Bãi biển Bắc Mỹ An chưa đầy 1 km. Sân bay gần nhất là sân bay quốc tế Đà Nẵng, nằm trong bán kính 6 km từ khách sạn."
SOCO Hotel,"305 Nguyen Van Thoai, Đà Nẵng, Việt Nam","Bạn đủ điều kiện nhận giảm giá Genius tại SOCO Hotel! Để tiết kiệm tại chỗ nghỉ này, bạn chỉ cần đăng nhập.
SOCO Hotel nằm ở vị trí thuận tiện, chỉ cách Sân bay Quốc tế Đà Nẵng 5 km. Với tầm nhìn tuyệt đẹp ra biển, nơi nghỉ có các phòng được trang bị nội thất thanh lịch với truy cập Wi-Fi miễn phí.
Khách sạn nằm trong một tòa nhà hiện đại chỉ cách Bãi biển Mỹ Khê 100 m. Quý khách có thể ghé thăm Ngũ Hành Sơn, cách đó 6,1 km và Bãi biển Non Nước nổi tiếng, cách 6,5 km.
Tươi sáng và đầy phong cách, các phòng máy lạnh tại đây được trang bị minibar, TV màn hình phẳng và khu vực tiếp khách. Phòng tắm riêng đi kèm máy sấy tóc và bồn tắm/vòi sen. Một số phòng nhìn ra biển còn số khác nhìn ra ngọn núi.
Lễ tân 24 giờ sẽ sẵn lòng hỗ trợ quý khách với chỗ để hành lý cũng như tiện nghi đỗ xe miễn phí. Để thuận tiện cho quý khách nơi nghỉ có thể sắp xếp dịch vụ vận chuyển sân bay và dịch vụ đưa đón có tính phí. Quý khách cũng có thể sử dụng tiện nghi tổ chức hội họp và tiệc.
Quý khách còn có thể nếm các bữa ăn kiểu Việt Nam truyền thống tại nhà hàng trong khuôn viên. Quầy bar có một loạt các loại cocktail và đồ uống có cồn khác để quý khách thưởng thức."
Nguyen Gia Hotel,"Hoàng Sa, Đà Nẵng, Việt Nam","Quay mặt ra bãi biển, Nguyen Gia Hotel cung cấp chỗ nghỉ 3 sao tại thành phố Đà Nẵng và có xe đạp miễn phí, hồ bơi ngoài trời cũng như sảnh khách chung. Trong số các tiện nghi của chỗ nghỉ này có nhà hàng, dịch vụ phòng và dịch vụ đưa đón miễn phí cũng như WiFi miễn phí trong toàn bộ khuôn viên. Chỗ nghỉ có dịch vụ tiền sảnh, bàn đặt tour và dịch vụ thu đổi ngoại tệ cho khách.
Phòng nghỉ gắn máy điều hòa tại khách sạn được bố trí bàn làm việc, ấm đun nước, minibar, két an toàn, TV màn hình phẳng và phòng tắm riêng với vòi xịt/chậu rửa vệ sinh. Một số phòng còn có bếp đi kèm tủ lạnh và bếp nấu ăn. Tất cả các phòng đều được trang bị tủ để quần áo.
Chỗ nghỉ phục vụ bữa sáng buffet, bữa sáng à la carte hoặc bữa sáng kiểu Mỹ hằng ngày.
Nguyen Gia Hotel có sân hiên.
Chỗ nghỉ nằm cách bãi biển Mỹ Khê vài bước chân và Bãi Bụt 3 km. Sân bay gần nhất là sân bay quốc tế Đà Nẵng, cách Nguyen Gia Hotel 9 km."
Golden Rose Hotel,"56 Loseby Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng, Việt Nam","Bạn đủ điều kiện nhận giảm giá Genius tại Golden Rose Hotel! Để tiết kiệm tại chỗ nghỉ này, bạn chỉ cần đăng nhập.
Tọa lạc tại thành phố Đà Nẵng, cách Bãi biển Mỹ Khê 600 m, Golden Rose Hotel cung cấp chỗ nghỉ với sảnh khách chung, chỗ đỗ xe riêng miễn phí và nhà hàng. Khách sạn 4 sao này có dịch vụ tiền sảnh và bàn đặt tour. Chỗ nghỉ cung cấp dịch vụ lễ tân 24 giờ, dịch vụ đưa đón sân bay, dịch vụ phòng và Wi-Fi miễn phí.
Các căn gắn máy điều hòa tại khách sạn được bố trí khu vực ghế ngồi, TV màn hình phẳng với các kênh truyền hình vệ tinh, két an toàn và phòng tắm riêng đi kèm vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí cùng máy sấy tóc. Golden Rose Hotel có một số phòng nhìn ra biển và mỗi phòng đều có ấm đun nước. Tất cả các phòng đều đi kèm ga trải giường và khăn tắm.
Golden Rose Hotel nằm cách Cầu Sông Hàn 1,9 km và Cầu khóa Tình yêu 2,6 km. Sân bay gần nhất là sân bay quốc tế Đà Nẵng, nằm cách khách sạn 6 km."
Dylan Hotel Danang Managed By Marcom Jack Lee,"93 Ha Bong , Đà Nẵng, Việt Nam","Bạn đủ điều kiện nhận giảm giá Genius tại Dylan Hotel Danang Managed By Marcom Jack Lee! Để tiết kiệm tại chỗ nghỉ này, bạn chỉ cần đăng nhập.
Tọa lạc tại thành phố Đà Nẵng, cách bãi biển Mỹ Khê chưa đầy 1 km, Dylan Hotel Danang Managed By Marcom Jack Lee cung cấp chỗ nghỉ với hồ bơi ngoài trời, chỗ đỗ xe riêng miễn phí, nhà hàng và quầy bar. Khách sạn 4 sao này có một loạt tiện nghi thể thao dưới nước, dịch vụ tiền sảnh, lễ tân 24 giờ, dịch vụ đưa đón sân bay, dịch vụ phòng và WiFi miễn phí trong toàn bộ khuôn viên.
Phòng nghỉ gắn máy điều hòa tại khách sạn có bàn làm việc, ấm đun nước, tủ lạnh, minibar, két an toàn, TV và phòng tắm riêng với vòi xịt/chậu rửa vệ sinh. Tất cả các phòng đều được trang bị tủ để quần áo.
Chỗ nghỉ phục vụ bữa sáng buffet, bữa sáng kiểu lục địa hoặc bữa sáng kiểu Anh/Ailen.
Khu vực này nổi tiếng với các hoạt động đi bộ đường dài và đi xe đạp trong khi du khách có thể thuê xe đạp tại khách sạn 4 sao này.
Dylan Hotel Danang Managed By Marcom Jack Lee nằm cách Bãi biển Bắc Mỹ An 2,6 km và Cầu khóa Tình yêu 2,2 km. Sân bay gần nhất là sân bay quốc tế Đà Nẵng, nằm trong bán kính 5 km từ chỗ nghỉ."
